year,label,tile,geometry
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.222199999999994 -9.9967, -61.22229999999999 -9.9967, -61.22229999999999 -9.9966, -61.222199999999994 -9.9966, -61.222199999999994 -9.9967))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22229999999999 -9.9966, -61.22249999999999 -9.9966, -61.22249999999999 -9.9965, -61.22229999999999 -9.9965, -61.22229999999999 -9.9966))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22249999999999 -9.9963, -61.22259999999999 -9.9963, -61.22259999999999 -9.9962, -61.22249999999999 -9.9962, -61.22249999999999 -9.9963))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22239999999999 -9.9963, -61.22239999999999 -9.9962, -61.22229999999999 -9.9962, -61.22229999999999 -9.9963, -61.22239999999999 -9.9963))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22249999999999 -9.9959, -61.22249999999999 -9.9958, -61.22239999999999 -9.9958, -61.22239999999999 -9.9959, -61.22249999999999 -9.9959))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22259999999999 -9.9959, -61.222699999999996 -9.9959, -61.222699999999996 -9.9958, -61.22259999999999 -9.9958, -61.22259999999999 -9.9959))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22249999999999 -9.9958, -61.22259999999999 -9.9958, -61.22259999999999 -9.9957, -61.22249999999999 -9.9957, -61.22249999999999 -9.9958))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.22299999999999 -9.9941, -61.22319999999999 -9.9941, -61.22319999999999 -9.9939, -61.22299999999999 -9.9939, -61.22299999999999 -9.9941))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.224799999999995 -9.9897, -61.224799999999995 -9.9896, -61.22469999999999 -9.9896, -61.22469999999999 -9.9897, -61.224799999999995 -9.9897))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.24889999999999 -9.9823, -61.24909999999999 -9.9823, -61.249199999999995 -9.9823, -61.249199999999995 -9.9822, -61.24909999999999 -9.9822, -61.24889999999999 -9.9822, -61.24889999999999 -9.9823))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.248999999999995 -9.982, -61.248799999999996 -9.982, -61.248799999999996 -9.9821, -61.248999999999995 -9.9821, -61.248999999999995 -9.982))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.231399999999994 -9.9791, -61.231199999999994 -9.9791, -61.231199999999994 -9.9793, -61.231399999999994 -9.9793, -61.231399999999994 -9.9791))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.236399999999996 -9.9775, -61.23629999999999 -9.9775, -61.23629999999999 -9.9776, -61.236399999999996 -9.9776, -61.236399999999996 -9.9775))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.23839999999999 -9.9695, -61.23839999999999 -9.9694, -61.23819999999999 -9.9694, -61.23819999999999 -9.9693, -61.23799999999999 -9.9693, -61.23799999999999 -9.9694, -61.237899999999996 -9.9694, -61.237899999999996 -9.9697, -61.23799999999999 -9.9697, -61.23799999999999 -9.9698, -61.238299999999995 -9.9698, -61.238299999999995 -9.9702, -61.238699999999994 -9.9702, -61.238699999999994 -9.9703, -61.23879999999999 -9.9703, -61.23879999999999 -9.9698, -61.238899999999994 -9.9698, -61.238899999999994 -9.9697, -61.238299999999995 -9.9697, -61.238299999999995 -9.9695, -61.23839999999999 -9.9695), (-61.238499999999995 -9.97, -61.238499999999995 -9.9701, -61.23839999999999 -9.9701, -61.23839999999999 -9.97, -61.238499999999995 -9.97), (-61.238699999999994 -9.9698, -61.238699999999994 -9.9699, -61.23859999999999 -9.9699, -61.23859999999999 -9.9698, -61.238699999999994 -9.9698))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.23899999999999 -9.9697, -61.23899999999999 -9.9696, -61.238899999999994 -9.9696, -61.238899999999994 -9.9697, -61.23899999999999 -9.9697))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.23929999999999 -9.9694, -61.23919999999999 -9.9694, -61.23919999999999 -9.9695, -61.23929999999999 -9.9695, -61.23929999999999 -9.9694))"
2024,CORTE SELETIVO,C51L34,"POLYGON ((-61.23919999999999 -9.9692, -61.23909999999999 -9.9692, -61.23909999999999 -9.9693, -61.23919999999999 -9.9693, -61.23919999999999 -9.9692))"
